location,size,total_sqft,bath,price,bhk,price_per_sqft
Bannerghatta Road,3 BHK,1880.0,3.0,95.0,3,5053.191489361702
other,4 BHK,1200.0,4.0,169.0,4,14083.333333333334
Sarjapur  Road,2 BHK,984.0,2.0,45.91,2,4665.650406504065
Yeshwanthpur,3 BHK,1713.0,3.0,110.0,3,6421.482778750729
other,3 Bedroom,396.0,2.0,48.0,3,12121.212121212122
Hebbal,2 BHK,1036.0,2.0,50.0,2,4826.254826254826
other,2 BHK,950.0,2.0,45.0,2,4736.8421052631575
Balagere,2 BHK,1205.0,2.0,63.86,2,5299.585062240664
Whitefield,2 BHK,1185.0,2.0,40.0,2,3375.5274261603377
Kammasandra,2 BHK,1018.0,2.0,23.45,2,2303.5363457760313
NRI Layout,4 Bedroom,2150.0,4.0,115.0,4,5348.837209302325
Sarjapur  Road,2 BHK,1418.0,2.0,78.0,2,5500.705218617772
Devanahalli,4 Bedroom,5000.0,4.0,465.0,4,9300.0
Hoodi,2 BHK,1240.0,2.0,43.94,2,3543.548387096774
Bellandur,2 BHK,1047.0,2.0,75.0,2,7163.323782234957
Devarachikkanahalli,2 BHK,991.0,2.0,40.0,2,4036.326942482341
Raja Rajeshwari Nagar,2 BHK,1185.0,2.0,40.17,2,3389.8734177215188
Whitefield,3 BHK,1639.0,3.0,107.0,3,6528.370957901159
Lingadheeranahalli,3 BHK,1521.0,3.0,95.0,3,6245.890861275477
Thanisandra,2 BHK,1098.0,2.0,71.0,2,6466.302367941712
other,3 BHK,1700.0,2.0,68.5,3,4029.4117647058824
Hulimavu,3 BHK,1916.0,2.0,150.0,3,7828.810020876827
other,3 BHK,1425.0,2.0,65.0,3,4561.403508771929
Anekal,2 BHK,766.0,2.0,28.0,2,3655.3524804177546
7th Phase JP Nagar,2 BHK,1050.0,2.0,75.0,2,7142.857142857143
other,2 BHK,1250.0,2.0,58.0,2,4640.0
Whitefield,2 BHK,1280.0,2.0,52.0,2,4062.5
KR Puram,2 BHK,950.0,2.0,40.0,2,4210.526315789473
Ardendale,3 BHK,1750.0,3.0,100.0,3,5714.285714285715
other,3 BHK,1300.0,3.0,47.0,3,3615.3846153846152
other,10 Bedroom,1200.0,10.0,190.0,10,15833.333333333334
Mysore Road,2 BHK,1003.0,2.0,43.0,2,4287.138584247258
Bommasandra,3 BHK,1365.0,3.0,52.81,3,3868.864468864469
Sahakara Nagar,2 BHK,960.0,2.0,56.0,2,5833.333333333333
Thigalarapalya,3 BHK,2215.0,4.0,160.0,3,7223.476297968397
other,3 BHK,1430.0,2.0,78.65,3,5500.000000000001
Electronics City Phase 1,3 BHK,1350.0,3.0,71.0,3,5259.259259259259
Sanjay nagar,2 BHK,1000.0,2.0,70.0,2,7000.0
Sarjapur  Road,3 BHK,1665.0,3.0,74.93,3,4500.3003003003005
Kanakpura Road,2 BHK,1050.0,2.0,35.0,2,3333.3333333333335
Uttarahalli,2 BHK,1107.0,2.0,45.0,2,4065.040650406504
Kudlu Gate,2 BHK,812.0,2.0,38.25,2,4710.591133004926
other,2 BHK,1000.0,2.0,45.0,2,4500.0
Kumaraswami Layout,2 BHK,1000.0,2.0,36.0,2,3600.0
other,4 Bedroom,4111.0,4.0,250.0,4,6081.24543906592
Chamrajpet,9 Bedroom,4050.0,7.0,1200.0,9,29629.62962962963
Bisuvanahalli,2 BHK,845.0,2.0,37.0,2,4378.698224852071
Bhoganhalli,2 BHK,1205.0,2.0,68.32,2,5669.709543568464
Bisuvanahalli,3 BHK,1075.0,2.0,45.0,3,4186.046511627907
Basaveshwara Nagar,5 Bedroom,2520.0,4.0,378.0,5,15000.0
Begur,3 BHK,1445.0,2.0,47.1,3,3259.515570934256
other,2 BHK,1100.0,2.0,47.0,2,4272.727272727273
Kadugodi,3 BHK,1711.0,3.0,75.0,3,4383.4015195791935
other,5 BHK,6200.0,5.0,720.0,5,11612.90322580645
other,2 BHK,1040.0,2.0,36.84,2,3542.307692307693
other,2 BHK,1240.0,2.0,100.0,2,8064.516129032259
other,7 Bedroom,1200.0,5.0,80.0,7,6666.666666666667
Kaggadasapura,2 BHK,1180.0,1.0,50.0,2,4237.28813559322
TC Palaya,2 Bedroom,1200.0,2.0,60.0,2,5000.0
other,2 Bedroom,1200.0,1.0,70.0,2,5833.333333333333
Frazer Town,3 BHK,1750.0,3.0,150.0,3,8571.42857142857
other,3 BHK,1770.0,3.0,90.0,3,5084.745762711865
Pai Layout,3 BHK,1400.0,2.0,67.0,3,4785.714285714285
Hulimavu,2 Bedroom,1050.0,2.0,125.0,2,11904.761904761905
Bannerghatta Road,3 BHK,1460.0,2.0,90.0,3,6164.3835616438355
5th Phase JP Nagar,3 BHK,1450.0,2.0,73.0,3,5034.482758620689
KR Puram,2 BHK,1085.0,2.0,46.5,2,4285.714285714285
Kengeri,2 BHK,750.0,2.0,38.0,2,5066.666666666667
Sarjapur,4 Bedroom,2100.0,3.0,125.0,4,5952.380952380952
Banashankari,2 BHK,1040.0,2.0,45.0,2,4326.923076923077
Kanakpura Road,2 BHK,1296.0,2.0,105.0,2,8101.851851851852
Basavangudi,6 Bedroom,1214.0,3.0,220.0,6,18121.91103789127
Electronic City,2 BHK,550.0,1.0,15.0,2,2727.2727272727275
Amruthahalli,1 Bedroom,600.0,1.0,55.0,1,9166.666666666666
Malleshpalya,3 BHK,1430.0,2.0,69.5,3,4860.1398601398605
Kengeri Satellite Town,3 BHK,1450.0,2.0,50.0,3,3448.2758620689656
other,2 BHK,850.0,2.0,75.0,2,8823.529411764706
Banashankari Stage II,3 BHK,1240.0,2.0,59.52,3,4800.0
Vishveshwarya Layout,4 Bedroom,600.0,4.0,85.0,4,14166.666666666666
Hulimavu,3 BHK,1260.0,2.0,82.0,3,6507.936507936508
Frazer Town,3 BHK,1900.0,4.0,145.0,3,7631.578947368421
other,2 Bedroom,1600.0,2.0,90.0,2,5625.0
Sarjapur  Road,1 BHK,615.0,1.0,17.835,1,2900.0
other,4 Bedroom,1830.0,4.0,325.0,4,17759.562841530056
Choodasandra,2 BHK,1115.0,2.0,50.0,2,4484.304932735426
GM Palaya,3 BHK,1735.0,3.0,70.0,3,4034.5821325648417
JP Nagar,3 Bedroom,2500.0,3.0,135.0,3,5400.0
other,4 BHK,750.0,6.0,75.0,4,10000.0
other,2 BHK,1200.0,2.0,55.0,2,4583.333333333333
