iter	RMSE
0	141.6370988
1	130.8225161
2	121.6559249
3	112.9445231
4	105.2406773
5	98.29389891
6	92.21607667
7	86.10413175
8	80.58610948
9	75.76602226
10	71.40675176
11	67.37567352
12	63.78688548
13	60.74253495
14	57.57576297
15	54.87313143
16	52.43326882
17	50.14252878
18	47.98586799
19	46.07041664
20	44.39954328
21	42.73727837
22	41.21325033
23	40.00037276
24	38.75154518
25	37.59356834
26	36.53894341
27	35.5354636
28	34.49778051
29	33.58501681
30	32.88689104
31	32.42118683
32	31.87077016
33	31.26701281
34	30.65903813
35	30.14847842
36	29.67483602
37	29.29976829
38	28.85781464
39	28.44370192
40	28.02901562
41	27.66593996
42	27.33663391
43	27.01101121
44	26.74870095
45	26.34170738
46	26.07705918
47	25.75561916
48	25.42434671
49	25.29517048
50	25.16705626
51	24.7967266
52	24.55914816
53	24.44910507
54	24.15871269
55	23.88427338
56	23.7003951
57	23.66384836
58	23.44130569
59	23.14500166
60	22.9559823
61	22.77529867
62	22.60186053
63	22.5753492
64	22.49388696
65	22.4229101
66	22.39952647
67	22.18996187
68	22.0650226
69	21.84310112
70	21.76496795
71	21.64710306
72	21.41201163
73	21.34686438
74	21.24347703
75	21.02598188
76	20.87338689
77	20.63047539
78	20.48895173
79	20.37343362
80	20.24275901
81	19.96666306
82	19.90202624
83	19.85049585
84	19.75056925
85	19.62655912
86	19.44964766
87	19.17594897
88	19.12241901
89	19.0358007
90	18.77717102
91	18.546874
92	18.44662314
93	18.40398509
94	18.25251445
95	18.21495317
96	18.17834288
97	18.12691367
98	18.09306974
99	17.98154883
