iter	Passed	Remaining
0	2	250
1	4	237
2	6	196
3	7	175
4	8	163
5	9	155
6	10	145
7	11	137
8	13	132
9	14	130
10	15	128
11	18	138
12	21	141
13	22	137
14	23	133
15	25	132
16	26	130
17	28	129
18	29	126
19	30	123
20	32	120
21	33	117
22	34	115
23	35	112
24	36	109
25	37	107
26	38	104
27	39	102
28	41	100
29	42	98
30	43	96
31	44	94
32	45	92
33	46	91
34	48	89
35	49	87
36	50	85
37	51	84
38	52	82
39	53	80
40	55	79
41	56	77
42	57	76
43	58	74
44	59	72
45	60	71
46	61	69
47	62	67
48	63	66
49	64	64
50	65	63
51	66	61
52	67	60
53	68	58
54	70	57
55	71	55
56	72	54
57	73	53
58	74	52
59	75	50
60	76	49
61	78	47
62	79	46
63	80	45
64	81	43
65	82	42
66	83	41
67	84	39
68	85	38
69	86	37
70	87	35
71	89	34
72	90	33
73	93	32
74	95	31
75	96	30
76	97	29
77	98	27
78	99	26
79	100	25
80	101	23
81	102	22
82	103	21
83	104	19
84	105	18
85	106	17
86	107	16
87	108	14
88	109	13
89	110	12
90	111	11
91	112	9
92	113	8
93	114	7
94	115	6
95	116	4
96	117	3
97	118	2
98	119	1
99	123	0
