iter	Passed	Remaining
0	3	3200
1	4	2117
2	5	1844
3	6	1653
4	7	1546
5	8	1422
6	9	1340
7	10	1329
8	11	1270
9	12	1224
10	13	1196
11	14	1171
12	15	1180
13	16	1165
14	17	1156
15	18	1151
16	19	1149
17	20	1144
18	21	1135
19	23	1132
20	24	1130
21	25	1130
22	26	1123
23	27	1116
24	28	1114
25	29	1109
26	30	1103
27	32	1119
28	33	1122
29	34	1118
30	35	1114
31	36	1118
32	38	1113
33	39	1110
34	40	1106
35	41	1105
36	42	1103
37	43	1100
38	44	1095
39	45	1092
40	46	1087
41	47	1088
42	49	1093
43	50	1101
44	51	1100
45	53	1105
46	54	1107
47	55	1104
48	56	1103
49	58	1104
50	59	1104
51	60	1107
52	61	1106
53	63	1105
54	64	1104
55	66	1113
56	67	1113
57	68	1113
58	69	1112
59	70	1109
60	71	1108
61	73	1105
62	74	1103
63	75	1103
64	76	1100
65	77	1097
66	78	1091
67	79	1088
68	80	1092
69	82	1093
70	83	1094
71	84	1092
72	85	1090
73	86	1086
74	87	1084
75	88	1081
76	90	1079
77	91	1076
78	92	1073
79	93	1071
80	94	1068
81	95	1066
82	96	1065
83	97	1067
84	98	1065
85	100	1063
86	101	1060
87	102	1059
88	103	1058
89	104	1056
90	105	1052
91	106	1051
92	107	1049
93	108	1048
94	109	1045
95	110	1044
96	111	1041
97	113	1041
98	114	1040
99	115	1039
100	116	1036
101	117	1034
102	118	1031
103	119	1031
104	120	1029
105	121	1027
106	122	1025
107	123	1023
108	124	1021
109	126	1020
110	127	1018
111	128	1016
112	129	1017
113	130	1017
114	131	1015
115	133	1014
116	134	1012
117	135	1010
118	136	1011
119	137	1008
120	138	1006
121	139	1005
122	140	1004
123	141	1002
124	143	1001
125	143	998
126	145	997
127	146	997
128	147	997
129	148	994
130	149	993
131	150	991
132	151	989
133	152	987
134	153	985
135	154	984
136	156	982
137	157	984
138	158	982
139	159	980
140	160	979
141	161	978
142	163	977
143	164	975
144	165	974
145	166	972
146	167	970
147	168	970
148	169	969
149	171	969
150	172	967
151	173	965
152	174	964
153	175	962
154	176	960
155	177	958
156	178	957
157	179	956
158	180	954
159	181	952
160	182	951
161	183	949
162	184	948
163	185	948
164	187	946
165	188	945
166	188	942
167	190	940
168	190	939
169	192	937
170	193	936
171	194	935
172	195	933
173	196	932
174	197	930
175	198	929
176	199	928
177	200	926
178	201	925
179	202	923
180	203	922
181	204	920
182	205	919
183	206	917
184	207	916
185	208	914
186	209	912
187	210	910
188	211	909
189	213	908
190	214	906
191	215	905
192	216	903
193	217	902
194	218	900
195	219	899
196	220	898
197	221	896
198	222	895
199	223	894
200	224	892
201	225	891
202	226	890
203	227	888
204	228	887
205	230	886
206	231	885
207	232	883
208	232	881
209	233	879
210	234	878
211	235	876
212	236	875
213	238	874
